NAICS_Code,Description
7210-7219,Accommodations
N/A,N/A
5600-5699,Administrative and Support Services
7100-7199,"Arts, Entertainment, and Recreation"
8100-8139,Certain Services
2300-2399,Construction
5210-5239,Financial Services
7220-7229,Food Services
5100-5199,Information
5240-5249,Insurance
3100-3399,Manufacturing
6100-6299,Private Education and Health Services
5400-5499,"Professional, Scientific, and Technical Services"
5300-5399,Real Estate and Rental and Leasing Services
4400-4599,Retail Trade
4800-4999,Transportation and Warehousing
2200-2299,Utilities
4200-4299,Wholesale Trade
